Code,Plan Partners Initial Description,Updated Description
01_002_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This service must involve the provider spending these hours awake and providing active care throughout the night.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep."
01_002_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This service must involve the provider spending these hours awake and providing active care throughout the night. This line item can only be used by a TTP registered provider.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep. Support delivered by a TTP provider."
01_003_0107_1_1,"Assistance provided by a carer that lives in the same residence as the participant and supports the participant with everyday domestic needs/tasks they may not be able to do so themselves. As this funding is a quote required stated support, a quote should be sent to the NDIA for approval.","A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. This support item is subject to quotation. it should only be used if it is a stated item in a plan"
01_004_0107_1_1,To assist the participant in building their skills to maintain their home environment. For example; If a participant owns or rents their home and is in charge for their garden. They can hire a support worker to help with them with their gardening and other basic house work.,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home and/or has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house and yard work.
01_010_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided overnight however the provider can sleep when support is not required. This line item can be claimed any day and on public holidays.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support."
01_011_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This support would be provided between the hours of 06:00-20:00.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_011_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This support would be provided between the hours of 06:00-20:00. This line item can only be used by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_012_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on a public holiday.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_012_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on a public holiday. This line item can only be used by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider."
01_013_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc.  This line item can only be claimed on Saturdays.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
