Code,Support Item Name,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type,Detailed Item Description,Simplified Description
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$102.84,$110.19,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This service must involve the provider spending these hours awake and providing active care throughout the night.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep."
01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Night - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$104.38,$111.84,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This service must involve the provider spending these hours awake and providing active care throughout the night. This line item can only be used by a TTP registered provider.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep. Support delivered by a TTP provider."
01_003_0107_1_1,Assistance From Live-In Carer,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Assistance provided by a carer that lives in the same residence as the participant and supports the participant with everyday domestic needs/tasks they may not be able to do so themselves. As this funding is a quote required stated support, a quote should be sent to the NDIA for approval.","A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. This support item is subject to quotation. it should only be used if it is a stated item in a plan"
01_004_0107_1_1,Assistance with Personal Domestic Activities,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$77.04,$82.55,Y,Y,Y,N,N,Price Limited Supports,To assist the participant in building their skills to maintain their home environment. For example; If a participant owns or rents their home and is in charge for their garden. They can hire a support worker to help with them with their gardening and other basic house work.,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home and/or has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house and yard work.
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$386.78,$414.41,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided overnight however the provider can sleep when support is not required. This line item can be claimed any day and on public holidays.","Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support."
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This support would be provided between the hours of 06:00-20:00.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This support would be provided between the hours of 06:00-20:00. This line item can only be used by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on a public holiday.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on a public holiday. This line item can only be used by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider."
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc.  This line item can only be claimed on Saturdays.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_013_0107_1_1_T,Assistance With Self-Care Activities - Standard - Saturday - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc.  This line item can only be claimed on Saturdays, and by a registered TTP provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on Sundays.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_014_0107_1_1_T,Assistance With Self-Care Activities - Standard - Sunday - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on Sundays, and by a registered TTP provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided between the hours of 8:00pm-12:00am","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_015_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Evening - TTP,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided between the hours of 8:00pm-12:00am, and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_016_0104_1_1,Specialised Home Based Assistance For A Child,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$77.04,$82.55,Y,Y,Y,N,N,Price Limited Supports,Support Workers with a specialised skill set relevant to the disability to provide in-home care when informal supports are unable to do so themselves.,Specialist assistance in the home required due to additional requirements of a childs disability; may be provided to strengthen the sustainability of informal supports.
